onset	duration	trial_type
0.5952560999867273	3.059511100000236	win
11.146744999990915	3.0599078000086593	loss
17.479969699998037	3.0593789999984438	win
23.815431299997726	3.0554249999986496	win
32.24999479998951	3.060565799998585	loss
42.784986200000276	3.058353199987323	loss
51.203095799995936	3.057731299995794	win
59.65432879999571	3.0623190000042086	loss
66.00502529999358	3.0599906999996165	win
72.35586229999899	3.0596393999876454	win
78.70679749999545	3.0631245999975363	loss
87.15823089999321	3.058741500004544	loss
93.49159869999858	3.0566226999944774	win
104.02738669999235	3.062032600006205	win
110.3786553999962	3.06030309999187	win
120.92979070000001	3.0616650999872945	win
129.38093369999842	3.060271299997112	win
137.79897899999924	3.0550336000014795	win
146.23277909999888	3.056317999988096	win
163.06946689999313	3.0577724000031594	loss
173.60332369999378	3.058950399994501	win
184.15572679998877	3.060022800011211	loss
192.60599759999604	3.0601134000025922	loss
198.9404482999962	3.0611189999908675	loss
205.3089125999977	3.060852900001919	win
215.84299569998984	3.0558783000014955	loss
226.37750979998964	3.0618264000077033	win
234.84588599999552	3.0608897999918554	loss
241.1810742999951	3.0574650000053225	win
249.61547509999946	3.0596170999924652	loss
255.95004899999185	3.056863899997552	loss
262.26733849999437	3.055976699994062	loss
268.58395369999926	3.059827999997651	win
279.1198482999898	3.0582672000018647	loss
285.4708485999872	3.057682000013301	loss
293.9055124999868	3.0587910000031115	win
304.42366799998854	3.059012800003984	loss
314.97424959999626	3.063296899999841	win
321.32655509999313	3.05778659999487	loss
327.6436774999893	3.06025700000464	loss
338.1784339000005	3.059391599992523	loss
344.51298489999317	3.05590310000116	loss
352.9473280999955	3.0580061999935424	win
365.59944659999746	3.0590057999943383	loss
371.9171765999927	3.059563300004811	win
378.25016440000036	3.0572943999868585	loss
384.5857071999926	3.06225689999701	loss
393.03596149999066	3.060421000001952	loss
403.60517169999366	3.057052300006035	loss
414.1398535999906	3.0586012999992818	loss
424.6915590999997	3.0573951999977	win
433.14254259999143	3.0587803999951575	win
439.4927437000006	3.056244699997478	loss
447.92711579999013	3.059001100002206	win
456.37943409998843	3.0601959000050556	win
462.74699499999406	3.0593636999983573	win
469.09814339999866	3.0582357999956002	win
475.43230570000014	3.057328199996846	win
485.96607409999706	3.0604640999954427	win
496.50196629999846	3.056385899995803	loss
